Rank,Title,Score,Episodes
391,Made in Abyss Movie 1: Tabidachi no Yoake,8.16,Movie
392,Noragami Aragoto,8.16,TV
393,Ouran Koukou Host Club,8.16,TV
394,Shokugeki no Souma,8.16,TV
395,Akira,8.16,Movie
396,Cardcaptor Sakura,8.16,TV
397,Dragon Ball Super: Broly,8.16,Movie
398,Dragon Ball Z,8.16,TV
399,Initial D Fourth Stage,8.16,TV
400,Initial D Second Stage,8.16,TV
401,Death Parade,8.15,TV
402,Eiga Daisuki Pompo-san,8.15,Movie
403,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.15,Movie
404,Given: Uragawa no Sonzai,8.15,OVA
405,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8.15,ONA
406,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.15,OVA
407,Working!!! Lord of the Takanashi,8.15,Special
408,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.15,Movie
409,Lupin III: Cagliostro no Shiro,8.15,Movie
410,Major: Message,8.15,OVA
411,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.14,Movie
412,Nisemonogatari,8.14,TV
413,Nodame Cantabile: Paris-hen,8.14,TV
414,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.14,OVA
415,One Piece Film: Z,8.14,Movie
416,Black Clover,8.14,TV
417,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.14,Movie
418,Gankutsuou,8.14,TV
419,Given Movie,8.14,Movie
420,Haikyuu!! Movie 3: Sainou to Sense,8.14,Movie
421,Hinamatsuri (TV),8.14,TV
422,IDOLiSH7 Second Beat!,8.14,TV
423,Kaiba,8.14,TV
424,Tensei shitara Slime Datta Ken,8.14,TV
425,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.13,TV
426,Katekyo Hitman Reborn!,8.13,TV
427,Lupin III: Part 5,8.13,TV
428,Princess Tutu,8.13,TV
429,Seirei no Moribito,8.13,TV
430,Eizouken ni wa Te wo Dasu na!,8.13,TV
431,Detective Conan Movie 05: Countdown to Heaven,8.12,Movie
432,Ginga Eiyuu Densetsu Gaiden,8.12,OVA
433,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.12,Special
434,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8.12,ONA
435,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,8.12,TV
436,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.12,Movie
437,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.12,Special
438,Kaze Tachinu,8.11,Movie
439,Kidou Senshi Gundam 00,8.11,TV
440,Kono Subarashii Sekai ni Shukufuku wo!,8.11,TV
